time,00_bitset1,00_bitset2,00_bitset3,01_mm1,01_mm2,01_mm3,02_mv1,02_mv2,02_mv3,03_sort1,03_sort2,03_sort3,04_spmv1,04_spmv2,04_spmv3,brainfuck-bootstrap,brainfuck-mandelbrot-nerf,brainfuck-pi-nerf,conv0,conv1,conv2,crypto-1,crypto-2,crypto-3,dead-code-elimination-1,dead-code-elimination-2,dead-code-elimination-3,fft0,fft1,fft2,floyd-0,floyd-1,floyd-2,gameoflife-gosper,gameoflife-oscillator,gameoflife-p61glidergun,hoist-1,hoist-2,hoist-3,instruction-combining-1,instruction-combining-2,integer-divide-optimization-1,integer-divide-optimization-2,integer-divide-optimization-3,median0,median1,median2,shuffle0,shuffle1,shuffle2,sl1,sl2,sl3,stencil0,stencil1,transpose0,transpose1,transpose2
2022-07-22 00:57:50,2327957,4557871,6854911,9269230,8306126,6344968,6455843,3684722,4906085,1358502,21119059,4069498,4899199,3238067,3391347,20747652,-1,3447170,11872766,20087698,14932969,4087860,3379785,4428394,-1,-1,-1,6671233,14340611,13754397,86,66985,33397797,23368582,20724500,20672375,83779,-1,-1,42808,10938495,472468,-1,-1,5218581,3539877,30611653,6402304,9362951,4020025,9420426,3531542,1743418,51711,129968,3963366,4352526,10803905
2022-07-22 11:43:10,2290531,4488628,6734487,9269230,8306126,6344968,6455843,3684722,4906085,1422536,22781197,4402601,4899199,3238067,3391347,19228039,59580189,3240554,11872766,20087698,14932969,4099214,3354513,4473471,-1,-1,-1,6671233,14340611,13754397,86,66985,33397797,23368582,20724500,20672375,83779,-1,-1,42808,10938495,472468,-1,-1,5218581,3539877,30611653,6402304,9362951,4020025,9420426,3531542,1743418,51711,129968,3963366,4352526,10803905
2022-07-22 16:58:56,2290531,4488628,6734487,9283926,8314913,6359107,6448586,3684611,4907937,1423974,22778082,4412351,4899199,3238067,3391347,19228039,59580189,3240554,11872766,20087698,14932969,4099214,3354513,4473471,-1,-1,-1,6693247,14280731,13887292,85,67014,33436690,23368582,20724500,20672375,83779,-1,-1,42808,10938495,472468,-1,-1,5223193,3542127,30637057,6402304,9362951,4020025,9420426,3531542,1743418,51711,129968,3963366,4352526,10803905
2022-07-24 11:47:16,2362264,4705079,6742827,9236224,8301943,6331703,5847719,2467225,4545353,1415104,22582012,4380682,4888421,3135145,3417356,18667667,56835477,3053727,11847883,20037882,14782623,4342831,3558826,4723399,57,5723,576283,6665633,14367048,13852829,85,67014,33351218,23280489,20686159,20807416,83638,-1,-1,42942,10936484,471072,-1,-1,4696401,3588106,27863546,6068169,9333812,4044726,9401837,3536281,1734219,46348,116399,3868064,4247767,10467328
2022-07-24 12:18:39,2362264,4705079,6742827,9235350,8272866,6327732,5856605,2477308,4547513,1414203,22559434,4368994,4888421,3135145,3417356,18667667,56835477,3053727,11847883,20037882,14782623,4342831,3558826,4723399,57,5723,576283,6671051,14272634,13758623,85,66932,33360515,23280489,20686159,20807416,83638,-1,-1,42942,10936484,471072,-1,-1,4699181,3541189,27852669,6068169,9333812,4044726,9401837,3536281,1734219,46348,116399,3868064,4247767,10467328
2022-07-25 01:17:22,2244567,4667092,6596384,8863714,7887693,5958964,5384659,2049605,4273543,1254337,20077629,3877393,4660133,2985475,3177823,15539771,41881227,2454494,11529789,19102918,14141748,4445095,3644278,4821905,46,4597,460002,6430447,13808600,13227518,67,49422,24542739,22148531,19607227,19579654,83602,-1,-1,42850,10934390,469898,-1,-1,3134703,1811032,19489410,6607786,9934530,4015226,9303291,3446282,1692141,45945,117701,3525742,3738916,9640245
2022-07-25 16:01:43,2362264,4705079,6742827,9235350,8272866,6327732,5856605,2477308,4547513,1414203,22559434,4368994,4888421,3135145,3417356,18667667,56835477,3053727,11847883,20037882,14782623,4342831,3558826,4723399,57,5723,576283,6671051,14272634,13758623,85,66932,33360515,23280489,20686159,20807416,83638,-1,-1,42942,10936484,471072,-1,-1,4699181,3541189,27852669,6068169,9333812,4044726,9401837,3536281,1734219,46348,116399,3868064,4247767,10467328
2022-07-25 20:32:49,2244567,4667092,6596384,8898679,7892882,5961543,5384017,2053202,4271590,1291157,20051622,3880658,4660133,2985475,3177823,15539771,41881227,2454494,11529789,19102918,14141748,4445095,3644278,4821905,46,4597,460002,6407281,13810311,13211997,67,49553,24532902,22148531,19607227,19579654,83602,-1,-1,42850,10934390,469898,-1,-1,3135328,1771593,19489576,6607786,9934530,4015226,9303291,3446282,1692141,45945,117701,3525742,3738916,9640245
2022-07-27 10:32:27,2171316,4330162,7194133,9212970,8270179,6347933,5861196,2464081,4548294,1414317,22576279,4370301,4854921,3089398,3386946,18667667,56835477,3053727,11854224,20040456,14787450,4455414,3613843,4783751,57,5723,576283,6707275,14373411,13747837,85,66403,33075562,23280887,20701972,20632231,83638,-1,-1,42942,10936484,471225,-1,-1,4696971,3539321,27864943,6614351,9396264,4087894,9483577,3504109,1772822,45895,112275,3846451,4247917,10631091
2022-07-27 10:59:59,2171316,4330162,7194133,9212970,8270179,6347933,5861196,2464081,4548294,1414317,22576279,4370301,4854921,3089398,3386946,18667667,56835477,3053727,11854224,20040456,14787450,4455414,3613843,4783751,57,5723,576283,6707275,14373411,13747837,85,66403,33075562,23280887,20701972,20632231,83638,-1,-1,42942,10936484,471225,-1,-1,4696971,3539321,27864943,6614351,9396264,4087894,9483577,3504109,1772822,45895,112275,3846451,4247917,10631091
